Staphylococcus test positive,,,,
Abortion spontaneous,,,,
Muscle fatigue,muscle_weakness,fatigue,muscle_wasting,
Forearm fracture,,,,
Body temperature,,,,
Ventricular dyssynchrony,,,,
C-reactive protein,,,,
Ocular hypertension,,,,
Blood pressure decreased,,,,
Implant site abscess,,,,
Toxoplasmosis,,,,
Flushing,,,,
Dermatofibrosarcoma protuberans,,,,
Infective corneal ulcer,,,,
Large intestinal stenosis,,,,
Product packaging issue,,,,
Peripheral endarterectomy,,,,
Vipoma,,,,
Renal infarct,,,,
Ligament sprain,,,,
Vitamin B1 decreased,,,,
Radiotherapy to bone,,,,
Muscle contusion,,,,
Abscess of eyelid,,,,
CSF eosinophil count increased,,,,
Emotional poverty,,,,
Hypobarism,,,,
Urinary bladder haemorrhage,,,,
Hypopituitarism,,,,
Hereditary optic atrophy,,,,
Artery dissection,,,,
Appendicectomy,,,,
Blood antidiuretic hormone increased,,,,
Body mass index increased,,,,
Gallbladder abscess,,,,
Documented hypersensitivity to administered product,,,,
Autonomic dysreflexia,,,,
Seroconversion test positive,,,,
Hypersexuality,,,,
Autoimmune myocarditis,,,,
Breast cyst,,,,
Adrenal disorder,,,,
Nasal septum deviation,,,,
Kidney transplant rejection,,,,
Epstein-Barr virus associated lymphoproliferative disorder,,,,
Product label on wrong product,,,,
Crystal arthropathy,,,,
Birth trauma,,,,
Nasal injury,,,,
Paradoxical drug reaction,,,,
Cataract traumatic,,,,
PO2 increased,,,,
Gingival discomfort,,,,
Inappropriate affect,,,,
Eastern Cooperative Oncology Group performance status,,,,
Hypokinesia,,,,
Type 2 diabetes mellitus,,,,
Vaginal fistula,,,,
Chapped lips,drying_and_tingling_lips,,,
Gastrointestinal polyp,,,,
Cystoscopy,,,,
Carotid artery dissection,,,,
Borderline glaucoma,,,,
Administration site swelling,,,,
Mesenteritis,,,,
Organising pneumonia,,,,
Cough decreased,phlegm,,,
Laryngeal cancer stage II,,,,
Cervicectomy,,,,
Vascular procedure complication,,,,
Anaphylactoid reaction,,,,
Meningitis enterococcal,,,,
Heparin-induced thrombocytopenia test positive,,,,
Periventricular leukomalacia,,,,
Scleral oedema,,,,
Inadequate aseptic technique in use of product,,,,
Lipohypertrophy,,,,
Alcohol withdrawal syndrome,,,,
Gingival oedema,,,,
Community acquired infection,,,,
Weight bearing difficulty,,,,
Pulmonary oedema,,,,
Cold sweat,sweating,,,
Blepharal pigmentation,,,,
Heterotopic pregnancy,,,,
Electroencephalogram abnormal,,,,
BRCA1 gene mutation,,,,
Prostatic operation,,,,
Factor I deficiency,,,,
Malignant neoplasm of lacrimal gland,,,,
Tonsillar disorder,,,,
Sperm analysis abnormal,,,,
Spinal cord disorder,,,,
Meningitis viral,,,,
Tympanic membrane atrophic,,,,
Oversensing,,,,
Ileus paralytic,,,,
Cholangiolitis,,,,
Croup infectious,,,,
Precursor B-lymphoblastic lymphoma recurrent,,,,
Pica,,,,
Manufacturing product storage issue,,,,
Uraemic pruritus,,,,
Retinal oedema,puffy_face_and_eyes,,,
Blood bilirubin,,,,
Penile rash,,,,
Hypertrophic cardiomyopathy,,,,
Poor weight gain neonatal,,,,
Colonic abscess,,,,
Laryngeal cyst,,,,
Duodenitis haemorrhagic,,,,
Genital injury,,,,
Hyperproteinaemia,,,,
Insurance issue,,,,
Therapeutic product effect increased,,,,
Catabolic state,,,,
Ammonia increased,,,,
Vitamin B6 deficiency,,,,
Hepatic infection fungal,,,,
Prothrombin time prolonged,,,,
Injection site bruising,,,,
Pyloric stenosis,,,,
Migraine,,,,
Rectal obstruction,,,,
Bicytopenia,,,,
Carotid endarterectomy,,,,
Kaposi sarcoma inflammatory cytokine syndrome,,,,
Electrophoresis protein abnormal,,,,
Atypical mycobacterial lymphadenitis,,,,
Joint surgery,,,,
Manufacturing materials issue,,,,
Spinal cord neoplasm,,,,
Congenital choroid plexus cyst,,,,
Catheter site discharge,,,,
Lysozyme increased,,,,
Retinopathy sickle cell,,,,
Blood pressure increased,,,,
Nervous system disorder,,,,
Hyperammonaemic crisis,,,,
Gait deviation,painful_walking,,,
Pharyngeal abscess,,,,
Extradural abscess,,,,
2-Hydroxyglutaric aciduria,,,,
Grimacing,,,,
Product outer packaging issue,,,,
Injection site indentation,,,,
Vasculitic ulcer,,,,
Angiodysplasia,,,,
Plastic surgery,,,,
Sweating fever,high_fever,sweating,,
C-reactive protein decreased,,,,
Loss of control of legs,,,,
Factor V Leiden mutation,,,,
Pulmonary hypertensive crisis,,,,
Immunoglobulin therapy,,,,
Nicotine dependence,,,,
Patient dissatisfaction with treatment,,,,
Blood erythropoietin abnormal,,,,
Artificial heart implant,,,,
Urinary bladder suspension,,,,
Tunnel vision,,,,
Mastoid abscess,,,,
Galactorrhoea,,,,
Haemorrhage urinary tract,,,,
Stroke in evolution,,,,
Peripheral pulse decreased,,,,
Corpora cavernosa surgery,,,,
Epstein-Barr virus associated lymphoma,,,,
Pachymeningitis,,,,
Somatic symptom disorder of pregnancy,,,,
Blood volume expansion,,,,
Injection site macule,,,,
Organic brain syndrome,,,,
Rheumatoid lung,,,,
Diffuse large B-cell lymphoma stage III,,,,
